+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                         ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|exp_sub|auto_generated                                                                                       ; 21    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|bias_addition|auto_generated                                                                                 ; 21    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|altsyncram3|auto_generated                                                                                   ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component|altfp_div_pst1                                                                                                              ; 67    ; 2              ; 0            ; 2              ; 32     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1|altfp_div0_altfp_div_o7h_component                                                                                                                             ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider1                                                                                                                                                                ; 65    ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|0point1_inHEx|lpm_constant5_lpm_constant_5c9_component                                                                                                                  ; 0     ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|0point1_inHEx                                                                                                                                                           ; 0     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|0poin2_inHEX|lpm_constant4_lpm_constant_na9_component                                                                                                                   ; 0     ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|0poin2_inHEX                                                                                                                                                            ; 0     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst                                                                                                                                                                    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|edge_counter                                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst1                                                                                                                                                                   ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|cmpr4|auto_generated                                                                                                   ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|add_sub8|auto_generated                                                                                                ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|add_sub7|auto_generated                                                                                                ; 24    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|add_sub6|auto_generated                                                                                                ; 24    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|add_sub3|auto_generated                                                                                                ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|add_sub1|auto_generated                                                                                                ; 62    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder14|altpriority_encoder16            ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder14|altpriority_encoder15            ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder14                                  ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder13|altpriority_encoder16            ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder13|altpriority_encoder15            ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18|altpriority_encoder13                                  ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder18                                                        ; 8     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder20|altpriority_encoder16            ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder20|altpriority_encoder15            ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder20                                  ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder19|altpriority_encoder22            ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder19|altpriority_encoder21            ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17|altpriority_encoder19                                  ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9|altpriority_encoder17                                                        ; 8     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder9                                                                              ; 16    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder14|altpriority_encoder16           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder14|altpriority_encoder15           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder14                                 ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder13|altpriority_encoder16           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder13|altpriority_encoder15           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12|altpriority_encoder13                                 ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder12                                                       ; 8     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder14|altpriority_encoder16           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder14|altpriority_encoder15           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder14                                 ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder13|altpriority_encoder16           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder13|altpriority_encoder15           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11|altpriority_encoder13                                 ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10|altpriority_encoder11                                                       ; 8     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2|altpriority_encoder10                                                                             ; 16    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altpriority_encoder2                                                                                                   ; 32    ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component|altbarrel_shift5                                                                                                       ; 40    ; 4              ; 0            ; 4              ; 32     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3|altfp_convert1_altfp_convert_3tm_component                                                                                                                        ; 33    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst3                                                                                                                                                                   ; 33    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|remainder_mult_0|auto_generated                                                                              ; 54    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|q_partial_1|auto_generated                                                                                   ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|q_partial_0|auto_generated                                                                                   ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|b1_prod|auto_generated                                                                                       ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|a1_prod|auto_generated                                                                                       ; 38    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|cmpr2|auto_generated                                                                                         ; 46    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|remainder_sub_0|auto_generated                                                                               ; 100   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|quotient_process|auto_generated                                                                              ; 63    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|exp_sub|auto_generated                                                                                       ; 21    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|bias_addition|auto_generated                                                                                 ; 21    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1|altsyncram3|auto_generated                                                                                   ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component|altfp_div_pst1                                                                                                              ; 67    ; 2              ; 0            ; 2              ; 32     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0|altfp_div0_altfp_div_o7h_component                                                                                                                             ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|divider0                                                                                                                                                                ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|60_inHex|lpm_constant6_lpm_constant_819_component                                                                                                                       ; 0     ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|60_inHex                                                                                                                                                                ; 0     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst7|altfp_mult1_altfp_mult_bnn_component|man_product2_mult|auto_generated                                                                                             ; 49    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst7|altfp_mult1_altfp_mult_bnn_component|man_round_adder|auto_generated                                                                                               ; 50    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst7|altfp_mult1_altfp_mult_bnn_component|exp_bias_subtr|auto_generated                                                                                                ; 20    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst7|altfp_mult1_altfp_mult_bnn_component|exp_adj_adder|auto_generated                                                                                                 ; 21    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst7|altfp_mult1_altfp_mult_bnn_component|exp_add_adder|auto_generated                                                                                                 ; 22    ; 0              ; 2            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst7|altfp_mult1_altfp_mult_bnn_component                                                                                                                              ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1|inst7                                                                                                                                                                   ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst1                                                                                                                                                                         ; 5     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; 10_inHEx|lpm_constant1_lpm_constant_219_component                                                                                                                             ; 0     ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; 10_inHEx                                                                                                                                                                      ; 0     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; 0point1_inHex|lpm_constant0_lpm_constant_5c9_component                                                                                                                        ; 0     ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; 0point1_inHex                                                                                                                                                                 ; 0     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst10|inst2|LPM_COUNTER_component|auto_generated|cmpr2                                                                                                                       ; 62    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst10|inst2|LPM_COUNTER_component|auto_generated                                                                                                                             ; 1     ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst10|inst2                                                                                                                                                                  ; 1     ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst10|inst|LPM_COMPARE_component|auto_generated                                                                                                                              ; 62    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst10|inst                                                                                                                                                                   ; 31    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst10                                                                                                                                                                        ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; PID_block|lessThan0|altfp_compare0_altfp_compare_0eb_component|cmpr4|auto_generated                                                                                           ; 14    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; PID_block|lessThan0|altfp_compare0_altfp_compare_0eb_component|cmpr3|auto_generated                                                                                           ; 16    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
